id,status,n_drones,coordinator,controller
2726,done,18,dmpc_admm,mpc_agent
2727,toBeDone,18,dmpc_admm,mpc_agent_adaptive
68,done,19,mpc_central,mpc_agent
69,toBeDone,19,mpc_central,mpc_agent_adaptive
70,done,19,dmpc_admm,mpc_agent
71,toBeDone,19,dmpc_admm,mpc_agent_adaptive
208,done,19,mpc_central,mpc_agent
209,toBeDone,19,mpc_central,mpc_agent_adaptive
210,done,19,dmpc_admm,mpc_agent
211,toBeDone,19,dmpc_admm,mpc_agent_adaptive
348,done,19,mpc_central,mpc_agent
349,toBeDone,19,mpc_central,mpc_agent_adaptive
350,done,19,dmpc_admm,mpc_agent
351,toBeDone,19,dmpc_admm,mpc_agent_adaptive
488,done,19,mpc_central,mpc_agent
489,toBeDone,19,mpc_central,mpc_agent_adaptive
490,done,19,dmpc_admm,mpc_agent
491,toBeDone,19,dmpc_admm,mpc_agent_adaptive
628,done,19,mpc_central,mpc_agent
629,toBeDone,19,mpc_central,mpc_agent_adaptive
630,done,19,dmpc_admm,mpc_agent
631,toBeDone,19,dmpc_admm,mpc_agent_adaptive
768,done,19,mpc_central,mpc_agent
769,toBeDone,19,mpc_central,mpc_agent_adaptive
770,done,19,dmpc_admm,mpc_agent
771,toBeDone,19,dmpc_admm,mpc_agent_adaptive
908,done,19,mpc_central,mpc_agent
909,toBeDone,19,mpc_central,mpc_agent_adaptive
910,done,19,dmpc_admm,mpc_agent
911,toBeDone,19,dmpc_admm,mpc_agent_adaptive
1048,done,19,mpc_central,mpc_agent
1049,toBeDone,19,mpc_central,mpc_agent_adaptive
1050,done,19,dmpc_admm,mpc_agent
1051,toBeDone,19,dmpc_admm,mpc_agent_adaptive
1188,done,19,mpc_central,mpc_agent
1189,toBeDone,19,mpc_central,mpc_agent_adaptive
1190,done,19,dmpc_admm,mpc_agent
1191,toBeDone,19,dmpc_admm,mpc_agent_adaptive
1328,done,19,mpc_central,mpc_agent
1329,toBeDone,19,mpc_central,mpc_agent_adaptive
1330,done,19,dmpc_admm,mpc_agent
1331,toBeDone,19,dmpc_admm,mpc_agent_adaptive
1468,done,19,mpc_central,mpc_agent
1469,toBeDone,19,mpc_central,mpc_agent_adaptive
1470,done,19,dmpc_admm,mpc_agent
1471,toBeDone,19,dmpc_admm,mpc_agent_adaptive
1608,done,19,mpc_central,mpc_agent
1609,toBeDone,19,mpc_central,mpc_agent_adaptive
1610,done,19,dmpc_admm,mpc_agent
1611,toBeDone,19,dmpc_admm,mpc_agent_adaptive
1748,done,19,mpc_central,mpc_agent
1749,toBeDone,19,mpc_central,mpc_agent_adaptive
1750,done,19,dmpc_admm,mpc_agent
1751,toBeDone,19,dmpc_admm,mpc_agent_adaptive
1888,done,19,mpc_central,mpc_agent
1889,toBeDone,19,mpc_central,mpc_agent_adaptive
1890,done,19,dmpc_admm,mpc_agent
1891,toBeDone,19,dmpc_admm,mpc_agent_adaptive
2028,done,19,mpc_central,mpc_agent
2029,toBeDone,19,mpc_central,mpc_agent_adaptive
2030,done,19,dmpc_admm,mpc_agent
2031,toBeDone,19,dmpc_admm,mpc_agent_adaptive
2168,done,19,mpc_central,mpc_agent
2169,toBeDone,19,mpc_central,mpc_agent_adaptive
2170,done,19,dmpc_admm,mpc_agent
2171,toBeDone,19,dmpc_admm,mpc_agent_adaptive
2308,done,19,mpc_central,mpc_agent
2309,toBeDone,19,mpc_central,mpc_agent_adaptive
2310,done,19,dmpc_admm,mpc_agent
2311,toBeDone,19,dmpc_admm,mpc_agent_adaptive
2448,done,19,mpc_central,mpc_agent
